Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT04363346	Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia		Recruiting	No Results Available	COVID-19	Drug: FT516	Number of participants with Dose Limiting Toxicity Events|The time in days from the 1st FT516 infusion to the elimination of viral shedding in nasal pharyngeal and stool samples|The time in days from the 1st FT516 infusion to discontinued need for supplemental oxygen|The time in days from the 1st FT516 infusion to hospital discharge	Masonic Cancer Center, University of Minnesota	All	18 Years to 76 Years   (Adult, Older Adult)	Phase 1	12	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IDIM-2020-28708|2020LS083	May 14, 2020	January 2022	January 2022	April 27, 2020		May 18, 2020	University of Minnesota, Minneapolis, Minnesota, United States		https://ClinicalTrials.gov/show/NCT04363346
12	NCT04324489	DAS181 for Severe COVID-19: Compassionate Use		Completed	No Results Available	COVID-19	Drug: DAS181	Improved clinical status|Return to room air|SARS-CoV-2 RNA|Discharge|Death	Renmin Hospital of Wuhan University|Ansun Biopharma, Inc.	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	4	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DAS181-SARS-CoV-2	March 6, 2020	April 16, 2020	April 30, 2020	March 27, 2020		May 5, 2020	Renmin Hospital of Wuhan University, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04324489
13	NCT04335123	Study of Open Label Losartan in COVID-19		Recruiting	No Results Available	COVID-19	Drug: Losartan	Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg	University of Kansas Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 1	50	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00145514	March 25, 2020	September 2020	October 2020	April 6, 2020		April 24, 2020	University of Kansas Medical Center, Kansas City, Kansas, United States		https://ClinicalTrials.gov/show/NCT04335123
14	NCT04464395	Study of CPI-006 as Immunotherapy for Hospitalized COVID-19 Patients		Recruiting	No Results Available	COVID-19	Drug: CPI-006	Incidence of Treatment-Emergent Adverse Events to Determine Single Dose of CPI-006 That is Safe in Patients with COVID-19|Immunoglobulin Anti-SARS CoV-2 Levels|Negative Nasal Swab Polymerase Chain Reaction (PCR) SARS CoV-2 Viral Tests|Duration of symptoms|Time to discharge|Rate of medical procedures	Corvus Pharmaceuticals, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 1	30	Industry	Interventional	Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CPI-006-002	July 1, 2020	March 31, 2021	August 31, 2021	July 9, 2020		July 20, 2020	Icahn School of Medicine at Mount Sinai, New York, New York, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04464395
15	NCT04527133	An Open Non-comparative Study of the Efficacy and Safety of Aprotinin in Patients Hospitalized With COVID-19		Active, not recruiting	No Results Available	COVID-19	Drug: Aprotinin	Time to elimination of SARS-CoV-2 virus|Time to CRP normalization|Time to D-dimer normalization|Time to body temperature normalization|Change in absolute neutrophil count (ANC)|Change in white blood cells (WBC)|Change of CRP|Change of D-dimer|Change in fibrinogen|Change of Quick's value|Change of international normalized ratio (INR)|Changes of lung injury on CT scan|Frequency of clinical status improvement by 2 scores in accordance with the WHO-OSCI or discharge from the hospital|Frequency of deterioration of the patients' status|Frequency of AEs and SAEs	Aviron LLC	All	18 Years and older   (Adult, Older Adult)	Not Applicable	30	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	COVID-APR-01	June 11, 2020	August 11, 2020	August 31, 2020	August 26, 2020		August 26, 2020	Regional State Budgetary Healthcare Institution "Clinical Hospital №1", Smolensk, Russian Federation		https://ClinicalTrials.gov/show/NCT04527133
16	NCT04329611	ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease		Terminated	No Results Available	COVID-19	Drug: Hydroxychloroquine	Composite of hospitalization, invasive mechanical ventilation or death within 30 days|mortality|Symptom duration|Disposition at 30 days defined as recovered, ongoing symptoms but not hospitalized, hospitalized, or deceased (categorical)	Dr. Michael Hill|Alberta Health Services|University of Alberta|University of Calgary|Calgary Health Trust|Alberta Innovates Health Solutions|Government of Alberta	All	18 Years and older   (Adult, Older Adult)	Phase 3	148	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	ABCOV-01 version 1.5	April 13, 2020	July 20, 2020	July 20, 2020	April 1, 2020		July 31, 2020	University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada		https://ClinicalTrials.gov/show/NCT04329611
17	NCT04306497	TCM Differentiation and Treatment Protocol of COVID-19	TDATPOC	Completed	No Results Available	COVID-19	Drug: TCM prescriptions	The relief of main symptoms/ disappearance rate of time|Chest CT absorption|Evaluation standard of comprehensive curative effect|Virus antigen negative conversion rate|The number of severe and critical conversion cases|Incidence of complications|Traditional Chinese Medicine Syndrome Score	Jiangsu Famous Medical Technology Co., Ltd.	All	18 Years to 80 Years   (Adult, Older Adult)		340	Industry	Observational	Observational Model: Cohort|Time Perspective: Other	JSZYJ202001	January 22, 2020	April 30, 2020	May 30, 2020	March 13, 2020		June 4, 2020	Huai'an fourth people's Hospital, Huaian, Jiangsu, China		https://ClinicalTrials.gov/show/NCT04306497
18	NCT04321993	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients		Recruiting	No Results Available	COVID-19	Drug: Baricitinib (janus kinase inhibitor)	Clinical status of subject at day 15 (on a 7 point ordinal scale).|Status on an ordinal scale assessed daily while hospitalized and on days 15 and 29 and 180.|Length of time to clinical improvement|Number of participants with normal pulmonary function and normal O2 saturation on days 11, 15 and 29|Number of participants that developed Acute Respiratory Distress Syndrome (ARDS) after treatment|Length of time to clinical progression|Cause of death (if applicable)|Sequential Organ Failure Assessment (SOFA) score, daily while hospitalized and on days 15 and 29. (Initial, highest, deltas and mean)|Length of time to normalization of fever|Length of time to normalization of oxygen saturation|Duration of supplemental oxygen (if applicable)|Duration of mechanical ventilation (if applicable)|Duration of hospitalization|Adverse events	Lisa Barrett|Nova Scotia Health Authority|Dalhousie University	All	18 Years and older   (Adult, Older Adult)	Phase 2	800	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SAIL-004	April 17, 2020	February 2022	March 2022	March 26, 2020		July 24, 2020	Nova Scotia Health Authority, Halifax, Nova Scotia, Canada		https://ClinicalTrials.gov/show/NCT04321993
19	NCT04323332	Traditional Chinese Medicine for Severe COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Traditional Chinese Medicine Prescription	Length of hospital stay (days)|Duration (days) of supplemental oxygenation|CT imaging changes|Mortality rate|Time to Clinical Improvement (TTCI)|The pneumonia severity index scores|Time to COVID-19 nucleic acid testing negativity in throat swab|Blood immune cell count|Serum inflammatory markers|Erythrocyte sedimentation rate|Platelet and D-dimer changes|Creatinine changes|Muscle enzymes changes|Usage of antibiotics|Usage of glucocorticoids|Frequency of adverse events	Xiyuan Hospital of China Academy of Chinese Medical Sciences	All	up to 85 Years   (Child, Adult, Older Adult)	Phase 3	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020XLA015-1	March 2020	March 2020	April 2020	March 26, 2020		March 26, 2020	Hao Li, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT04323332
20	NCT04375202	Colchicine in COVID-19: a Pilot Study	COLVID-19	Recruiting	No Results Available	COVID-19	Drug: Colchicine 1 MG Oral Tablet	Rate of entering the critical stage|Trend of White blood cell count|Change of the "Sequential Organ failure Assessment" (SOFA)|Rate of biochemical criterion (CK, ALT, ferritin) recovery|Rate of disease remission|Toxicity of Colchicine	University Of Perugia	All	18 Years and older   (Adult, Older Adult)	Phase 2	308	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2020-001475-33	April 18, 2020	June 30, 2020	October 31, 2020	May 5, 2020		May 5, 2020	Associazione Italiana Pneumologi Ospedalieri, Milan, Italy|Società Italiana di Reumatologia, Milan, Italy		https://ClinicalTrials.gov/show/NCT04375202
21	NCT04375046	Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP Could be Promising COVID-19 Infection- and Lung Injury Preventing Drug Better Than Recombinant Human ACE2	Bacterial ACE2	Not yet recruiting	No Results Available	COVID-19	Drug: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2)	Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-α (TNF-α) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events	Kafrelsheikh University	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 1	24	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	proposed by Mahmoud kazazzaz	September 2020	September 2020	October 2020	May 5, 2020		September 30, 2020			https://ClinicalTrials.gov/show/NCT04375046
22	NCT04364022	Efficacy of Pragmatic Same-day COVID-19 Ring Prophylaxis for Adult Individuals Exposed to SARS-CoV-2 in Switzerland	COPEP	Recruiting	No Results Available	Prevention of COVID-19	Drug: Lopinavir/ritonavir	21-day incidence of COVID-19 in individuals exposed to SARS-CoV- 2 who are asymptomatic at baseline (intent-to-treat (ITT) analysis).|21-day incidence of COVID-19 in individuals exposed to SARS-CoV- 2 who are asymptomatic, PCR-confirmed SARS-CoV-2 negative and have negative SARS-CoV-2 serology at baseline (modified ITT)|21-day incidence of SARS-CoV-2 infection in individuals exposed to SARS-CoV-2 who are asymptomatic, PCR-confirmed SARS-CoV-2 negative and have negative SARS-CoV-2 serology at baseline (modified ITT)|Severity of clinical COVID-19 on a 7-point ordinal scale	Calmy Alexandra|University Hospital, Geneva	All	16 Years and older   (Child, Adult, Older Adult)	Phase 3	300	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	CCER 2020-00864	April 23, 2020	March 2021	March 2021	April 27, 2020		September 2, 2020	Universitätsspital Basel and SwissTPH, Basel, Switzerland|Hôpitaux Universitaires de Genève, Geneva, Switzerland|Ospedale Regionale di Lugano, Lugano, Switzerland		https://ClinicalTrials.gov/show/NCT04364022
23	NCT04287686	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19		Withdrawn	No Results Available	COVID-19	Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2)	Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-α (TNF-α) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events	The First Affiliated Hospital of Guangzhou Medical University	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GIRH-APN01	February 2020	April 2020	April 2020	February 27, 2020		March 17, 2020	GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT04287686
