PREDICATE,SUBJECT_TEXT,OBJECT_TEXT,SENTENCE,LABEL
TREATS,gynecologists,patients,"After each case was reviewed       independently and in a random order by at least 2 pathologists, a diagnosis of       cancer was agreed on in 274 patients who had been treated by 5 gynecologists at       the Masachusetts General Hospital between 1940 and 1971.",1
COEXISTS_WITH,Anasarca,ascites,Anasarca can be a feature of       this disease and there are a few reports of patients in whom clinical ascites has       occurred.,1
USES,blood flow       measurement,radionuclides,This compound is immediately useful for blood flow       measurement based upon previous validation of butanol labeled with other       radionuclides for that purpose.,1
USES,inhalatory,antibacterial,[Effect of inhalatory therapy with antibacterial preparations on the       fungal-yeastlike flora of the respiratory tracts in pulmonary tuberculosis].,1
TREATS,cisplatin,patients,The therapeutic activity of cisplatin was explored in three consecutive patients       with locoregional squamous cell carcinoma of the anus who received no prior       therapy.,1
DIAGNOSES,morphometry,chronic bronchitis,Diagnostic morphometry in emphysema and chronic bronchitis.,1
USES,students,grade,"Questionnaires describing educational and administrative practices and       cardiovascular health knowledge tests for fourth, sixth, and 12th grade students,       teachers, and principals were used to evaluate cardiovascular health knowledge in       a carefully matched, representative sample in Louisiana public schools.",0
PROCESS_OF,nonclinic,patients,Clinic patients had a higher seizure frequency and came from a more       disadvantaged background that nonclinic patients.,0
DIAGNOSES,chloride test,Zollinger-Ellison syndrome,[Diagnostic value of calcium chloride test in Zollinger-Ellison syndrome].,1
ADMINISTERED_TO,hydroxychloroquine,patients,"C-wave and ERG records have been taken from patients with juvenile macular       degeneration, cone dysfunction syndrome, non exudative macular degeneration and       from patients who have taken hydroxychloroquine for more than a year.",1
ADMINISTERED_TO,dissection,workers,"Any attempt to summarise existing knowledge on the prediction of carcass       composition without detailed dissection is bedevilled by the variety of methods       used by different workers, not least in the analysis and presentation of their       results.",0
TREATS,Discharge planning,children,Discharge planning for children with perforated appendicitis.,0
MANIFESTATION_OF,mental illness,aggression,"To       explain their findings, they make suppositions: the use of the body as means of       expression, more important among the Africans, is related to the tendency to       somatize; the belief in aggression as a cause of mental illness would be the       basis on which the paranoid depression develops.",1
PRECEDES,injection,decay,The half-life of adipose tissue protein in virgin rats determined       by decay of 14C label from protein after injection of NaH14CO3 was 86.9 +/- 6.7       h.,1
PREVENTS,therapy,toxicity,"Once toxicity develops, supportive therapy should be given,       but there is no specific therapy to reduce toxicity or to enhance elimination.",0
USES,induction,lipoxygenase inhibitors,The hypothesis that arachidonic acid (AA) induction of sesquiterpene accumulation       and browning in potato (Solanum tuberosum) is mediated by a lipoxygenase       metabolite of AA was tested using lipoxygenase inhibitors.,0
TREATS,surgical procedures,disease,Of course the fact that extensive medical evaluations or even       surgical procedures revealed no abnormality except the stout urinary bladder       never is suifficient to qualify for hysterical disease.,0
COEXISTS_WITH,cytotoxin,phospholipase C,"A T7 expression       system was used to overproduce alpha-toxin in E. coli; enzymological studies with       the amplified plc gene product unambiguously demonstrated that both lecithinase       (phospholipase C) and sphingomyelinase activities were associated with this       43,000 dalton cytotoxin.",1
PREVENTS,treatment,dental (caries,Thus supervised antimicrobial treatment can       significantly reduce the incidence of dental (caries) in children with high       numbers of mutans streptococci.,1
DIAGNOSES,purification,isolation,The specific       interaction of L-type pyruvate kinase with the dye was exploited in the       large-scale purification of the enzyme and in the isolation of the phosphorylated       enzyme.,0
ADMINISTERED_TO,ASA,animals,The collagenase activity       of nondiabetic animals receiving ASA was decreased from nondiabetic controls (7.6       +/- 0.5 vs 11.7 +/- 0.5 microgram collagen/mg protein/hr) (P less than 0.001).,1
PRODUCES,HeLa cells,genome,"Structure, DNaseI hypersensitivity and expression of integrated papilloma virus       in the genome of HeLa cells.",0
PREVENTS,skeletal pin fixation,mandibular       fractures,A critical examination of skeletal pin fixation in reduction of mandibular       fractures.,0
PRECEDES,papillotomy,autopsy,"White-cell count and levels of liver function       parameters temporarily increased during the follow-up period of twelve months,       suggesting that diathermy papillotomy might have brought about some pathological       changes in the hepatobiliary system of monkeys, whereas no definite evidence of       cholestasis or pancreatitis were noticed, and an excellent condition of       papillotomy orifice and adjacent ogans was revealed at autopsy about 1 year after       diathermy papillotomy.",1
DIAGNOSES,endoscopy,solitary duodenal neurofibroma,A solitary duodenal neurofibroma located very closely to the papilla and causing       intestinal bleeding could be demonstrated by endoscopy and sonography in a 53       year old female.,1
PREVENTS,Gallium nitrate,hypercalcemia,Gallium nitrate (GaN) reduces cancer-related hypercalcemia and inhibits bone       resorption in vitro.,0
MANIFESTATION_OF,knee pain,fracture,An insufficiency fracture of the tibial plateau may be the cause of knee pain in       patients with osteoporosis.,1
ADMINISTERED_TO,glycosaminoglycan,lymphoid cells,Hepatic collagen content but not glycosaminoglycan       content was reduced by the administration of either lymphoid cells or serum from       chronically infected mice.,0
COEXISTS_WITH,peripheral       neurofibromatosis,cutaneous       neurofibromas,"It is now known that this disease occurs in two major forms: von       Recklinghausen neurofibromatosis (VRNF), which used to be called `peripheral       neurofibromatosis', typically presents with cafe-au-lait spots; and cutaneous       neurofibromas.",0
PRECEDES,Fontan procedure,Valsalva maneuver,"Response to the Valsalva maneuver after the Fontan procedure for tricuspid valve       atresia, single ventricle or pulmonic valve atresia.",1
TREATS,abortion,patients,The use of PFF2 alpha is considered an effective method to       induce abortion in patients with risk factors.,0
PRECEDES,open-heart surgery,intermittent positive pressure ventilation,"The cardiorespiratory effects of intermittent positive pressure ventilation with       zero end-expiratory pressure (IPPV), continuous positive airway pressure       breathing (CPAP) and spontaneous breathing (SR) were studied in 11 patients 3--20       h after open-heart surgery.",1
DIAGNOSES,counter current immunoelectrophoresis,Haemophilus meningitis,Discontinuous counter current immunoelectrophoresis in Haemophilus meningitis (a       case report).,0
TREATS,antiserum,rabbits,A monospecific       antiserum to mouse C3b/C4bINA has been prepared in rabbits.,0
ADMINISTERED_TO,anticoagulants,adults,"By the end of this study, the children who did not receive       anticoagulants were significantly less free of thrombotic and thromboembolic       events than the adults who did receive anticoagulants (p less than 0.01).",1
PREVENTS,angioplasty,injury,Proximal stenoses in vessels subserving viable muscle that is ischemic       at rest or with minimal exercise should be treated with reperfusion by       angioplasty or CABG to prevent further injury.,1
PREVENTS,Vaccines,Pasteurellosis,The Preparation and Use of Vaccines for the Prevention of Pasteurellosis.,1
USES,induction,Etomidate,"Etomidate (0.3 mg/kg) and thiopental (4 mg/kg) were administered IV for induction       of general anesthesia, comparing heart rate, blood pressure, respiration, and       side effects.",1
COEXISTS_WITH,tumor,disease,Prognostic factors that predicted death       from tumor were the presence of extratubal disease at initial surgery and the       bulk of residual tumor left after the initial surgery.,1
TREATS,management,epidermolysis bullosa dystrophica,Anaesthetic management in patients with epidermolysis bullosa dystrophica.,1
TREATS,oestrogens,boar,The effect of exogenous administration of oestrogens on the function of the       epididymis and the accessory sex glands in the boar.,0
COMPLICATES,fibrosis,Hepatic congestion,"Hepatic congestion was also prevalent and was complicated by       fibrosis, cardiac cirrhosis, and centrilobular necrosis and hemorrhage in some       patients.",1
COEXISTS_WITH,emotional-vegetative disturbances,alcoholism,Important role of the       limbico-neocortical relations was revealed in a development of behavioural and       emotional-vegetative disturbances accompanying experimental alcoholism.,1
MANIFESTATION_OF,psychological,cognitive deficit,It is hypothesized that psychological mechanisms of cognitive deficit       in psychopathic patients include insufficient orderliness and hierarchic       instability of semantic formations.,0
COMPLICATES,disseminated intravascular coagulation,meningioma,Melanotic meningioma complicated by disseminated intravascular coagulation.,1
PROCESS_OF,cell division,blast,"The present findings suggest       that (i) each of those commitment events is associated with a particular blast       cell division, and (ii) each commitment event independently determines the fate       of a different blast cell sublineage.",0
ADMINISTERED_TO,SPECT,patients,"To assess the value of single photon emission computed tomography (SPECT) in the       differential diagnosis of dementia SPECT and conventional computed tomography       were performed in 77 patients (50 men, 27 women, mean age 59 [28-90] years) with       dementia diagnosed by a battery of psychometric tests.",1
PREVENTS,Cimetidine,erythema multiforme major,Cimetidine prevents recurrent erythema multiforme major resulting from herpes       simplex virus infection.,1
PRODUCES,fibroblasts,collagenase,Cocultures of rabbit fibroblasts and mouse B-16 melanoma cells produce increased       levels of collagenase against type I collagen.,1
DIAGNOSES,cerebral angiography,neurological deficit,"All       patients with elevated MB CK levels exhibited at some stage either intracranial       arterial spasm as demonstrated by cerebral angiography, or a focal reversible       neurological deficit not due to direct pressure by either intracranial haematoma       or aneurysm.",0
PRODUCES,liver,erythrogenin,"It is       proposed that the greater amount of erythrogenin activity in the normal tissue       may reflect an attempt at liver regeneration following damage by an invading       tumor, as regenerating liver has been identified as a stimulus for extrarenal EP       and erythrogenin production.",1
MANIFESTATION_OF,nephritis,anaphylactic,[Research on the intervention of autoimmune and anaphylactic mechanisms in       pathogenesis of experimental nephritis in the rat].,1
ADMINISTERED_TO,operation,Patients,Patients who       received non-curative operation showed a certain efficacy to some extent.,1
DIAGNOSES,biopsies,tumors,The biopsies may be useful in       staging uro-genital tumors and malignant lymphomas.,1
TREATS,vaccination,multiple sclerosis,Swine influenza virus vaccination in patients with multiple sclerosis.,0
PRECEDES,inoculation,treatment,IC201 was found in cultured broth of Streptomyces cirratus as an antitumor       antibiotic which was effective in retarding growth of the established solid tumor       of Ehrlich carcinoma by treatment starting 8 days after tumor inoculation.,1
COMPLICATES,pulmonary embolism,snake bite,The authors report the case of a Bothrops lanceolatus snake bite complicated by       severe pulmonary embolism a few hours after admission.,1
DIAGNOSES,blood electrolytes,acute cerebral circulatory disorders,[Changes in the electrocardiogram in acute cerebral circulatory disorders       correlated with daily excretion of catecholamines and blood electrolytes].,0
COMPLICATES,tumor,acute myelogenous leukemia,Intracerebral tumor and diffuse central nervous system infiltration complicating       acute myelogenous leukemia.,1
DIAGNOSES,authors,germ cell       tumors,"The authors investigated the presence and distribution of keratin in germ cell       tumors using a rabbit-anti-keratin antiserum and a monoclonal antikeratin       antibody--which is specific for keratin classes of 40, 50, and 56.5 kdaltons--by       various immunohistochemical methods on frozen sections, alcohol-fixed, and       formalin-fixed paraffin-embedded tissues.",0
COEXISTS_WITH,Abnormal lymphocytes,gargoylism,Abnormal lymphocytes in gargoylism.,1
PRECEDES,transurethral       resection,implantation,These results indicate that prevention of       tumor implantation should be initiated in the first hour after transurethral       resection of the bladder tumors.,1
ADMINISTERED_TO,placebo,women,Restoration of       ovulation was observed in 2 of 17 women given bromocriptine and 4 of 13 women       given placebo.,1
COEXISTS_WITH,sodium,human seminal plasma,"Correlation of sodium and potassium in human seminal plasma with fertilizing       capacity of normal, and infertile subjects.",1
TREATS,VACCINATION,INFANTS,[EXPERIMENTAL CONTRIBUTION ON MULTIVACCINE VACCINATION IN INFANTS].,0
COMPLICATES,DIC,disorders,"DIC is a frequent,       often fatal pathophysiologic condition complicating many disorders.",1
USES,Treatment,Buformin,[Treatment of diabetic fatty liver with Buformin].,1
MANIFESTATION_OF,facial paralysis,leukemia,We think ours is the first reported patient whose leukemia       presented as atypical mastoiditis and facial paralysis due to granulocytic       sarcoma (chloroma).,1
PRODUCES,cells,neuraminidase,Avian cells expressing the Newcastle disease virus hemagglutinin-neuraminidase       protein are resistant to Newcastle disease virus infection.,1
PRECEDES,repair,recovery,The recovery of the patients was almost       complete after the repair of the cranial defect.,1
COMPLICATES,squamous cell cancer,rhabdomyosarcoma,[An autopsy case of rhabdomyosarcoma complicated with squamous cell cancer].,1
PRODUCES,lung cancer,ACTH,[Case of lung cancer with simultaneous production of ACTH and a bone resorption       stimulating factor].,1
COMPLICATES,toxic megacolon,ulcerative colitis,"A review of 29 patients with toxic megacolon complicating ulcerative colitis was       undertaken to (1) compare the results of medical and surgical treatment; (2)       determine the optimal timing for surgical intervention, and (3) identify possible       precipitating factors.",1
COMPLICATES,pancreatic abscess,pancreatitis,"A case of extra-pancreatic abscess       complicating severe acute pancreatitis, in whom sonography was normal, but CT       demonstrated the abscess is presented.",1
USES,therapy,blood substitute,[Animal experimental studies on partial kidney function after temporary       tourniquet ischemia with and without blood substitute therapy].,1
ADMINISTERED_TO,tomography,patients,"Thirty-eight patients with gynecologic malignancies (ovarian, cervical, and       endometrial carcinoma) underwent computed tomography (CT) and magnetic resonance       imaging (MRI) of the abdomen and pelvis.",1
PRECEDES,massive bleeding,cystadenomas,"Three personal observations are reported, comprising 2       benign cystadenomas, the first discovered on abdominal palpation and the second       after massive bleeding of gastric varices and thrombosis of the splenic vein.",1
TREATS,GH,rats,The amount of GH secreted during 6 h was significantly reduced in rats       with AL-cut or half-AL-cut as compared to that of sham-operated rats.,0
COEXISTS_WITH,adrenoceptors,CA3,"One of the most important differences was       the high density of alpha 1-adrenoceptors in the human and monkey hippocampus,       mainly in the CA3, CA4 and dentate gyrus, while in all the other species       investigated, the hippocampal formation was poor in these sites.",1
MANIFESTATION_OF,xeroderma pigmentosum,tumor,Mechanisms of tumor formation in a       patient with xeroderma pigmentosum may be similar to those occurring in the more       typical situation in adults.,0
MANIFESTATION_OF,bone tumors,Neurilemmomas,Neurilemmomas presenting as primary central bone tumors are extremely rare.,1
COEXISTS_WITH,carboxyfluorescein,liposomes,Intestinal absorption of carboxyfluorescein entrapped in liposomes in comparison       with its administration with lipid-surfactant mixed micelles.,1
DIAGNOSES,computed x ray tomography,tumour,The clinical application of computed x ray tomography in tumour identification.,1
COEXISTS_WITH,demeclocycline hydrochloride,tetracycline hydrochloride,"Seven-day courses of either pivmecillinam 200 mg plus pivampicillin 250 mg       (Miraxid) or a combination of tetracycline hydrochloride, chlortetracycline       hydrochloride and demeclocycline hydrochloride (Deteclo) 300 mg, both given twice       daily, were compared in a multicentre general practice study in 408 patients with       symptoms of upper or lower respiratory tract infection.",1
USES,Treatment,warfarin,Treatment consisted of continuous iv heparin infusion for 48--72 hours followed       by iv administration of cyclophosphamide (1100 mg/m2) and continued treatment       with heparin and warfarin.,1
TREATS,SULPHANILAMIDE,URINARY INFECTIONS,SULPHANILAMIDE IN GENITO-URINARY INFECTIONS.,1
PRECEDES,insertion,venography,"Either radionuclide or contrast venography, or both, were performed in nine       patients 2 months to 4 years after insertion of Mobin-Uddin caval umbrella filter       for prevention of recurrent pulmonary embolism.",1
DIAGNOSES,electron microscopy,membranous nephropathy,"By means of renal biopsy and light, immunofluorescence, and electron microscopy,       a diagnosis of membranous nephropathy (MN) was made in 100 patients.",1
COMPLICATES,Fistulas,diverticular disease,Fistulas complicating diverticular disease of the sigmoid colon.,1
DIAGNOSES,Radiology,chest trauma,[Radiology in chest trauma (author's transl)].,1
TREATS,isosorbide dinitrate,patients,[Vasodilator therapy by isosorbide dinitrate for the patients with congestive       heart failure (author's transl)].,1
PRODUCES,HR X SBP,adenosine triphosphate,"Shunts were opened for       1-2 h during which time phosphocreatine (PCr), adenosine triphosphate (ATP),       inorganic phosphate (Pi), and HR X SBP were monitored.",0
USES,treatment,noradrenaline,Acute peripheral circulatory failure in surgical cases; treatment with       1-noradrenaline.,1
USES,injection,saline,"At 5 days of age, A pups showed reduced plasma corticoid responses to       ether at 15 min poststress and to novelty or saline injection at 90-min post       stress compared to PF and C pups.",1
DIAGNOSES,authors,gastric cancer,The authors present a morphological investigation of the status of local       immunoreactivity in gastric cancer.,0
ADMINISTERED_TO,autopsy,patients,"Partial hepatectomy,       laparotomy, needle biopsy, or autopsy was performed in all nine patients with       diagnoses of hepatocellular carcinoma, metastatic liver tumor, or liver abscess.",1
MANIFESTATION_OF,chronic infection,anaemia,Mechanism of anaemia of chronic infection--study of haemoglobin synthesis in       vitro.,0
PREVENTS,norepinephrine,inactivation,"Tyramine and norepinephrine (respectively, substrate and product of the normal       catalytic reaction) protect against inactivation, and no regain of enzyme       activity occurs after prolonged dialysis.",1
PRODUCES,carnosinase,histamine,Exogenous carnosine was degraded in the       body by carnosinase and histidine decarboxylase to yield histamine.,1
TREATS,LHRH,hypothalamic amenorrhea,"To investigate the efficacy of the different routes of luteinizing hormone       releasing hormone (LHRH) administration upon pituitary responsiveness, we       compared plasma LHRH concentrations and pituitary LH responses in four patients       with hypothalamic amenorrhea treated with pulsatile LHRH.",1
ADMINISTERED_TO,massive blood transfusion,children,"Total serum calcium, its fractions and serum citrate concentrations were measured       in children receiving massive blood transfusion for scoliosis surgery, and in       other children undergoing open heart surgery with cardiopulmonary bypass.",1
DIAGNOSES,Testicular biopsy,endocrinopathies,Testicular biopsy as an aid in diagnosis of testicular endocrinopathies.,1
USES,therapy,Aureomycin,[Aureomycin therapy of psittacosis; new experiences in a small epidemic].,1
ADMINISTERED_TO,CyA,pigs,"4 pigs received CyA at a dose of 10 mg/kg/day, and 10 animals       were treated with 20 mg/kg CyA per day.",1
PREVENTS,scopolamine,Catalepsy,Catalepsy by SCH 23390 and by haloperidol was prevented       by scopolamine and potentiated by alpha-methyl-p-tyrosine pretreatment.,1
PREVENTS,treatment,complication,"This paper emphasizes frequent causes of failure in the selection of       the level of amputation, the operative technique, post-operative treatment and       prosthetic rehabilitation in order to reduce the complication rate.",1
COEXISTS_WITH,tRNAs,plant mitochondrial genomes,"The       results show that in vitro transcripts containing tRNAs from sequence fragments       of plastid origin integrated in plant mitochondrial genomes can be processed       correctly in plant mitochondria, if tRNA sequences and structures are intact.",1
COEXISTS_WITH,reductase,MOx,"Oxalate is metabolized by the glycerate pathway involving glyoxylate carboligase       in Alcaligenes LOx and Pseudomonas KOx, and by the serine pathway involving       hydroxypyruvate reductase in Ps.MOx and Ps.AM1 (var. 470).",1
COMPLICATES,viral diseases,chronic bronchitis,[Place of viral diseases among the aggravation factors of chronic bronchitis].,1
USES,Treatment,progesterone,"Treatment with exogenous progesterone, but not with oestradiol       benzoate, increased the number of old females having implantation sites but did       not increase either the average number of implantations/female or       postimplantation survival to Day 10.",1
PRECEDES,splenectomy,splenic implantation,"Six months       after splenic implantation, PG was 75 +/- 4 mg/dl and rose to greater than 350       mg/dl after splenectomy.",0
MANIFESTATION_OF,human fetal       kidney cells,carcinogenesis,This experiment indicates that the human fetal       kidney cells seem to be a good material for studying the mechanisms of       carcinogenesis of human epithelial cell.,0
COEXISTS_WITH,G2 phase,mitosis,"Four antigens (surface membrane immunoglobulin,       common ALL antigen, an immature cell marker identified by monoclonal antibody       11D1, and an ubiquitous leucocyte antigen identified by monoclonal antibody 6B1)       showed maximal expression in S and/or G2 phase and minimal expression during       mitosis.",0
DIAGNOSES,serum alpha-fetoprotein,diseases,Relationship of hepatitis B surface antigen to serum alpha-fetoprotein in       nonmalignant diseases of the liver.,0
USES,regimens,Ara-C,"Of the many high-dose Ara-C regimens that have been proposed, the one published       by Herzig [24] has been applied most widely.",1
MANIFESTATION_OF,translocations,disorder,The coincidence       of the probable de novo expression of an X-linked disorder in these two girls       with translocations involving similar breakpoints on the X chromosome suggests       that this band may be the site of the IP gene locus.,1
PRODUCES,peritoneal macrophage,prostacyclin,Equine peritoneal macrophage production of thromboxane and prostacyclin in       response to platelet activating factor and its receptor antagonist SRI 63-441.,1
PRECEDES,coronary artery bypass surgery,prophylaxis,Digoxin and propranolol in the prophylaxis of supraventricular tachydysrhythmias       after coronary artery bypass surgery.,1
TREATS,treatment,diabetic,"However, it is not clear whether the       alterations seen in lipoproteins during treatment are related to the degree of       diabetic control or to the mode of diabetic treatment.",1
PRODUCES,lung,PGE,"Peripheral, relatively airway-free preparations of human lung       generate PGF2 alpha and PGE in response to histamine and 2-methylhistamine, on H1       agonist, but not to dimaprit, an H2 agonist.",1
MANIFESTATION_OF,hypercapnia,obstruction,"In the half of non-operative cases, obstruction and       inadequate gas mixing were the main cause for hypercapnia.",1
MANIFESTATION_OF,arrhythmias,tachycardia,"At present, the clinical indications for study       include the following: (1) for diagnosis of tachycardia mechanism when scalar ECG       analysis is uncertain; (2) for assessment of risk of future life-threatening       arrhythmia; and (3) as a rapid means of assessing future therapy when sporadic       arrhythmias are likely to be poorly tolerated.",1
COMPLICATES,octreotide,hypoglycemia,Aggravation of hypoglycemia in insulinoma patients by the long-acting       somatostatin analogue octreotide (Sandostatin).,1
PREVENTS,treatment,complications,"Prevention, high index of       suspicion, and early treatment are important factors that can decrease the       possible complications of impacted foreign bodies in the esophagus.",1
USES,experiment,vaporizer,"An in vitro experiment measuring the values of different       enflurane/halothane mixtures, carried out with the involved vaporizer, showed       that it contained, at the time of the incident, a mixture of 20% enflurane and       80% halothane.",1
PREVENTS,pentoxifylline,acute lung injury,Prevention of interleukin 2-induced acute lung injury in guinea pigs by       pentoxifylline.,1
USES,inoculation,alimentary,[Modeling non-fatal tularemia infection by alimentary inoculation of rodents       highly sensitive to it].,0
COEXISTS_WITH,fluorodinitrobenzene,binding site,"Since HPO reacts with primary amino groups, we used a simple chemical       reaction with fluorodinitrobenzene (FDNB) to determine if the loss of antigen       binding was due to the requirement for unmodified primary amino groups in the       binding site.",0
ADMINISTERED_TO,injection,rats,These parameters for DL-propranolol were       decreased significantly in both control and uremic rats receiving injection of       the uremic serum.,1
PRECEDES,anterior pelvic exenteration,pulmonary lobectomy,Left inferior pulmonary lobectomy for       metastases 8 1/2 years after anterior pelvic exenteration.,1
USES,treatment,neuroleptic,[Complications of the treatment with long-acting neuroleptic preparations. Brain       disease due to fluphenazine decanoate].,1
COMPLICATES,hypercalcaemia,acute myelogenous leukaemia,These two cases       demonstrate that the hypercalcaemia complicating acute myelogenous leukaemia may       be due to a variety of mechanisms distinct from parathyroid hormone production.,1
DIAGNOSES,medical diagnosis,neoplasms,[Nuclear medical diagnosis in fractures and neoplasms in the maxillofacial area].,1
TREATS,triamcinolone,severe       chronic asthma,In a double blind crossover study oral prednisolone was compared with       intramuscular depot triamcinolone in the treatment of 20 patients with severe       chronic asthma.,1
PREVENTS,stabilization,disease,"The patient       who received the larger dose showed a greater than 50% reduction in the size of       pelvic and pericaval nodes, with stabilization of disease at the smaller nodal       size for a period of three months.",0
PRODUCES,B cells,antibodies,Lymphoblastoid (LB) B cells which spontaneously produce antitetanus toxoid IgG       antibodies (Tet-IgG) in short-term cultures (3 days) appear in the circulation       5-7 days after immunization with tetanus toxoid.,1
PRODUCES,peripheral blood T lymphocytes,cachectin,Production of tumor necrosis factor/cachectin by human T cell lines and       peripheral blood T lymphocytes stimulated by phorbol myristate acetate and       anti-CD3 antibody.,1
MANIFESTATION_OF,congenital       hydrocephalus,Dandy-Walker syndrome,"Five cases of Dandy-Walker syndrome, one of the major causes of congenital       hydrocephalus, were diagnosed antenatally.",1
PRODUCES,B lymphocytes,osteoclast-activating factor,"The       alterations may be due to a decrease in T-cell-mediated immunoreactivity of nude       mice, as well as to an increased production of the osteoclast-activating factor,       which might be attributed, among other things, to the B lymphocytes or       macrophages.",1
PRODUCES,tissue types,metabolites,"All investigated tissue types produced as metabolites       of progesterone 5 alpha-pregnane-3,20-dione, 5 alpha-pregnane-3 alpha, 20       alpha-diol, as well as probably 3 alpha/beta-hydroxy-5-pregnan-20 one.",0
ADMINISTERED_TO,chlorpropamide,Patients,"Patients taking long term chlorpropamide, however, showed a       significantly (p less than 0.01) higher prevalence of flushing after both       chlorpropamide and placebo (56.3%; 9/16) compared with the rest of the       non-insulin dependent diabetics (16.7%; 40/239), the insulin dependent diabetics       (6.9%; 10/145), and the non-diabetics (5.9%; 16/273).",1
MANIFESTATION_OF,pathogenetic,epileptic seizures,"Although infections       have been considered as one of the possible provocations for the manifestation of       epileptic seizures, the demonstrated strong association may give a new approach       to the pathogenetic mechanisms of epileptic seizures or may mean a nonspecific       immune response.",0
PROCESS_OF,lung metastases,individual,Evolution of tumor cell heterogeneity during progressive growth of individual       lung metastases.,0
USES,treatment regimens,ddC,"The studies discussed here indicate that       low-dose ddC treatment regimens substantially reduce the toxic side effects of       this drug, and yet retain the ability to affect p24 antigen and CD4+ lymphocyte       levels.",1
